from,to
輪講B_I類_0,輪講B_I類_1
輪講B_I類_0,輪講B_I類_2
輪講B_I類_0,輪講B_I類_3
輪講B_I類_0,輪講B_I類_4
輪講B_I類_0,輪講B_I類_5
輪講B_I類_1,輪講B_I類_6
輪講B_I類_1,輪講B_I類_7
輪講B_I類_1,輪講B_I類_28
輪講B_I類_1,輪講B_I類_29
輪講B_I類_6,輪講B_I類_8
輪講B_I類_6,輪講B_I類_9
輪講B_I類_7,輪講B_I類_10
輪講B_I類_7,輪講B_I類_11
輪講B_I類_2,輪講B_I類_12
輪講B_I類_2,輪講B_I類_13
輪講B_I類_2,輪講B_I類_14
輪講B_I類_12,輪講B_I類_15
輪講B_I類_3,輪講B_I類_16
輪講B_I類_3,輪講B_I類_17
輪講B_I類_3,輪講B_I類_18
輪講B_I類_16,輪講B_I類_19
輪講B_I類_17,輪講B_I類_20
輪講B_I類_4,輪講B_I類_21
輪講B_I類_4,輪講B_I類_22
輪講B_I類_4,輪講B_I類_23
輪講B_I類_21,輪講B_I類_24
輪講B_I類_22,輪講B_I類_25
輪講B_I類_23,輪講B_I類_26
輪講B_I類_5,輪講B_I類_27
