source,target
言語認知工学_0,言語認知工学_1
言語認知工学_0,言語認知工学_6
言語認知工学_0,言語認知工学_11
言語認知工学_0,言語認知工学_19
言語認知工学_0,言語認知工学_24
言語認知工学_1,言語認知工学_2
言語認知工学_1,言語認知工学_3
言語認知工学_1,言語認知工学_4
言語認知工学_1,言語認知工学_5
言語認知工学_2,言語認知工学_10
言語認知工学_2,言語認知工学_15
言語認知工学_3,言語認知工学_4
言語認知工学_4,言語認知工学_5
言語認知工学_5,言語認知工学_12
言語認知工学_6,言語認知工学_7
言語認知工学_6,言語認知工学_8
言語認知工学_6,言語認知工学_9
言語認知工学_6,言語認知工学_10
言語認知工学_7,言語認知工学_10
言語認知工学_8,言語認知工学_9
言語認知工学_11,言語認知工学_12
言語認知工学_11,言語認知工学_13
言語認知工学_11,言語認知工学_15
言語認知工学_12,言語認知工学_13
言語認知工学_12,言語認知工学_14
言語認知工学_14,言語認知工学_15
言語認知工学_15,言語認知工学_16
言語認知工学_15,言語認知工学_17
言語認知工学_15,言語認知工学_18
言語認知工学_17,言語認知工学_18
言語認知工学_19,言語認知工学_20
言語認知工学_19,言語認知工学_21
言語認知工学_19,言語認知工学_22
言語認知工学_20,言語認知工学_21
言語認知工学_22,言語認知工学_23
言語認知工学_24,言語認知工学_25
言語認知工学_24,言語認知工学_26
言語認知工学_24,言語認知工学_27
言語認知工学_24,言語認知工学_28
言語認知工学_24,言語認知工学_29
