from,to
囲碁とゲームAI_0,囲碁とゲームAI_1
囲碁とゲームAI_0,囲碁とゲームAI_2
囲碁とゲームAI_0,囲碁とゲームAI_3
囲碁とゲームAI_0,囲碁とゲームAI_4
囲碁とゲームAI_1,囲碁とゲームAI_5
囲碁とゲームAI_1,囲碁とゲームAI_6
囲碁とゲームAI_1,囲碁とゲームAI_7
囲碁とゲームAI_1,囲碁とゲームAI_8
囲碁とゲームAI_2,囲碁とゲームAI_9
囲碁とゲームAI_2,囲碁とゲームAI_10
囲碁とゲームAI_2,囲碁とゲームAI_11
囲碁とゲームAI_2,囲碁とゲームAI_12
囲碁とゲームAI_3,囲碁とゲームAI_13
囲碁とゲームAI_3,囲碁とゲームAI_14
囲碁とゲームAI_3,囲碁とゲームAI_15
囲碁とゲームAI_3,囲碁とゲームAI_16
囲碁とゲームAI_4,囲碁とゲームAI_17
囲碁とゲームAI_4,囲碁とゲームAI_18
囲碁とゲームAI_4,囲碁とゲームAI_19
囲碁とゲームAI_4,囲碁とゲームAI_20
囲碁とゲームAI_5,囲碁とゲームAI_21
囲碁とゲームAI_6,囲碁とゲームAI_22
囲碁とゲームAI_7,囲碁とゲームAI_23
囲碁とゲームAI_11,囲碁とゲームAI_24
囲碁とゲームAI_12,囲碁とゲームAI_25
囲碁とゲームAI_15,囲碁とゲームAI_26
囲碁とゲームAI_18,囲碁とゲームAI_27
囲碁とゲームAI_19,囲碁とゲームAI_28
囲碁とゲームAI_20,囲碁とゲームAI_29
